title;artist;genre;power;key;bpm
Natives;Baodub, Inner Echo, Rider Shafique;Dub, Vocal, Digital, Slow;3;;120.000763
Baodub & Inner Echo - 04 Natives Dub;Baodub, Inner Echo;Dub, Instru, Digital, ElectroDub;3;;120.000435
Dem Ah Sleep;Rider Shafique, Bukkha, Dubbing Sun;Dub, Vocal, ElectroDub, Steppa;3;;165.00032
Horns Of Glory;Bukkha, Dubbing Sun;Dub, Instru, ElectroDub, Steppa;3;;165.00032
March Out;Joyful Lion, Rider Shafique;Dub, Vocal, Digital, Chill, Slow;2;;99.999748
Dubbing Out Of Babylon;Joyful Lion;Dub, Instru, Digital, Chill, Slow;2;;99.999748
Rightful Ruler (Jamie Bostron's Dub It Mix);Rolling Lion Studio, Jamie Bostron;Dub, Instru, ElectroDub, Steppa;4;;143.999985
Mononoke;Ruffian Rugged, Bruce Lee-Si;Dub, Vocal, ElectroDub;3;;79.999969
Feel Irie;Tenja, El Fata;Dub, Vocal, Digital, Steppa;3;;144.001587
Feel Irie Riddim;Tenja, El Fata;Dub, Instru, Digital, Steppa;3;;143.999924
Muffin;D-Vo;Dub, Instru, Digital, Slow, Other;2;;63.000088
Sparkles;Dubsezion;Dub, Instru, Digital, Chill, Melodic, Progressive;2;;63.999695
Melodica Soul feat. Addis Pablo & Booba Roots;Hernandad Rasta, Unidub Esteroo, Affis Pablo, Booba Roots;Dub, Instru, Digital, Chill, Progressive;2;;67.999619
Dance of the Apus;Mad Steppers;Dub, Instru, Digital, ElectroDub, Steppa;3;;130.000015
Winsdow;Magic Empire;Dub, Instru, ElectroDub, Steppa, Other, Dirty;3;;130.999939
Earthquake;Mushka Town;Dub, Instru, Digital, ElectroDub, Steppa;3;;139.999954
Soulless;Sub Bass Killa;Dub, Instru, ElectroDub, DubTek, Heavy, Dirty, Other;4;;143.000275
Skin of Snake;Throb;DubTek, Instru, Dubstep, Trance, Heavy, Dirty;4;;72.498932
Dub Hop;U-Niko;Dub, Instru, Chill, Slow;2;;83.000244
Zombie Mastah - Dub Free Vol. 8 - 04 My Boat;Zombie Mastah;Dub, Instru, Chill, Melodic;2;;130.000153
Gold;Dub Empire;Dub, Instru, Steppa, Heavy;4;;126.000282
Gold cut 2;Dub Empire;Dub, Instru, Steppa, Heavy;4;;125.999886
What A La La;Johnny Osbourne;Reggae, Vocal, OS;2;5m;86.713158
Chopper;Johnny Osbourne;Reggae, Vocal, OS;2;3m;84.872612
Can't Leave Us Alone;Johnny Osbourne;Reggae, Vocal, OS;2;12d;80.864868
Trench Town School;Johnny Osbourne;Reggae, Vocal, OS, Dub;2;8d;137.105515
Mr. Walker;Johnny Osbourne;Reggae, Vocal, OS;2;8m;177.903214
Rock And Come In;Johnny Osbourne;Reggae, Vocal, OS;2;8m;73.992912
Water Pumping;Johnny Osbourne;Reggae, Vocal, OS;2;4d;83.034409
Folly Ranking;Johnny Osbourne;Reggae, Vocal, OS;2;11m;136.571548
Fire Down Below;Johnny Osbourne;Reggae, Vocal, OS;2;11d;81.279358
Budy Bye;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;3d;82.533279
Rewind;Johnny Osbourne;Reggae, Vocal, OS;2;11d;80.690346
Few Dollars More;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;9d;90.285751
Fire;Johnny Osbourne;Reggae, Vocal, OS;2;7d;83.270363
On The Right Track;Johnny Osbourne;Reggae, Vocal, OS;2;8d;83.817825
Terrorist;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;2d;166.973419
People Are You Ready;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;8m;86.518143
Warrior;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;9d;90.797737
Rock It Tonight;Johnny Osbourne;Reggae, Vocal, OS;2;12d;156.521515
No Ice Cream Sound;Johnny Osbourne;Reggae, Vocal, Digital, OS;2;4d;86.359451
Luciano - Stay Away;Luciano;Dub, Vocal, Digital;3;;70.003311
Pucc Fiction (Oxmo Puccino);Biga Ranx, Waxx, C.Cole, Oxmo Puccino;Rap, FR;3;Em;88.0
Rue Shellopan;Beren Relax Hang;HangPan, Melodic, Chill;1;F#m;112.0
Chemin Koan;Beren Relax Hang;HangPan, Melodic, Chill;1;Cm;111.0
DB Handpan;Beren Relax Hang;HangPan, Melodic, Chill;1;Em;
Boulevard Zagdrum;Beren Relax Hang;HangPan, Melodic, Chill;1;C;103.0
Place Spacedrum;Beren Relax Hang;HangPan, Melodic, Chill;1;Cm;104.0
1959 - Message To Future Generation;Doctor C;Dub, Instu, Digital, ElectroDub, Heavy;4;Em;74.0
Rise Up;Doctor C;Rock, ElectroDub, Dub, Vocal;4;Em;78.0
Ride The World;Doctor C;Dub, Instru, Digital, ElectroDub;4;C#m;78.0
Ruff Electrique _ Dub Violence;Doctor C;Rock, ElectroDub, Dub, Instru, Heavy;5;Bbm;133.0
Stellar Waves (Saadji Remix);The Black Mantis Project, Saadji;Dub, Instru, Digital, ElectroDub, Didgeridoo, Progressive, DubTek;4;Em;85.0
Spicy (Saadji Remix);The Black Mantis Project, Saadji;Other, Instru, Mélodique, Didgeridoo;3;Dm;125.0
Terrora (Thriakis Remix);Stupeflip, Thriakis Dub Destroyer;Dub, Vocal, Rap, FR, ElectroDub;3;F#m;90.0
Hater's Killah (Thriakis Remix);Stupeflip, Thriakis Dub Destroyer;Dub, Vocal, Rap, FR, ElectroDub;3;G#m;88.0
La Seule Alternative (Thriakis Remix);Stupeflip, Thriakis Dub Destroyer;Dub, Vocal, Rap, FR, ElectroDub, Dubstep;4;Em;95.0
Stup Virus (Thriakis Remix);Stupeflip, Thriakis Dub Destroyer;Other, Vocal, Rap, FR, Electro;4;Cm;94.0
Nan?..Si? (Thriakis Remix);Stupeflip, Thriakis Dub Destroyer;Dub, Vocal, Rap, FR, ElectroDub, Other;3;Gm;90.0
Debile (Thriakis Remix);Cadillac;Other, Sample, FR, Rap, Electro;5;Am;102.0
acidcore 1;CSM;Techno, Acid, Acidcore;4;10m;150.002487
Andale;Codex;Techno, Acid;3;;153.999542
Lena Raine - Trance State (Anastasia Kristensen Remix);Lena Raine, Anastasia Kristensen;Techno, Progressive;3;;142.99939
Bass pirate;Protokseed;Techno, Acid;3;;165.000153
Binouze tiède;Protokseed;Techno, Acid;3;;169.999786
Danse tribale;Protokseed;Techno, Acid;3;;164.999832
La méthode 303;Protokseed;Techno, Acid;3;;159.999847
La tekno c'est de la musique;Protokseed;Techno, Acid, Sample, FR;3;;164.999741
Le marchand de basse;Protokseed;Techno, Acid;3;;165.000137
Le parking des lucioles;Protokseed;Techno, Acid;3;;164.998444
Le son de la police;Protokseed;Techno, Acid, Sample, FR;3;;170.000046
Les paradis artificiels;Protokseed;Techno, Acid, Sample, FR;3;;170.000122
Messe basse;Protokseed;Techno, Acid;3;;169.999863
Piste DFCI;Protokseed;Techno, Acid;3;;169.999939
Tassage en règle;Protokseed;Techno, Acid;3;;170.000031
Tekos Express;Protokseed;Techno, Acid;3;;169.99968
Tritri in da space;Protokseed;Techno, Acid;3;;160.000092
Un trône pour Jala;Protokseed;Techno, Acid;3;;164.999863
Vibration cellulaire;Protokseed;Techno, Acid;3;;170.000229
La cabane à poussière (ft. Vortek's);Protokseed, Vortek's;Techno, Acid;3;;165.001785
Acid in Spaceland;Protokseed;Techno, Acid;3;;160.000031
Triple Dimension;The GOS;Techno, Trance;3;;108.750038
Cross Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim;3;6m;127.000092
Vibes Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim, Chill;3;12m;127.999413
Bun Di Horns;Bukkha, Fada Jep, JahWind All Stars;Dub, Instru, Steppa;2;;140.000671
We a Roots;Danny Red;Dub, Vocal, Digital;3;;133.000793
Haspar - We a Roots - Sacred Woman (RDR1203) - 02 Haspar - We a Dub;Haspar;Dub, Instru, Digital;3;;132.999939
Haspar - We a Roots - Sacred Woman (RDR1203) - 03 Haspar - Roots a Dub;Haspar;Dub, Instru, Digital;3;;133.000259
Unlisted Fanatic - We a Roots - Sacred Woman (RDR1203) - 04 Sama Renuka - Sacred Woman;Unlisted Fanatic;Dub, Vocal, Digital;3;;64.999718
Unlisted Fanatic - We a Roots - Sacred Woman (RDR1203) - 05 Unlisted Fanatic - Sacred Dub;Unlisted Fanatic;Dub, Instru, Digital;3;;64.999939
Unlisted Fanatic - We a Roots - Sacred Woman (RDR1203) - 06 Unlisted Fanatic - Divine Dub;Unlisted Fanatic;Dub, Instru, Digital;3;;64.999763
Exyle - Abund;Exyle;Dub, Instru, ElectroDub;3;;134.999313
