0;1;2;3;4;5;6;7;8
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Vocal;ElectroDub;;;;;;
Dub;Instru;Steppa;Melodic;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Instru;;;;;;;
Dub;Instru;;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;Steppa;Dubadub;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Vocal;Digital;ElectroDub;Steppa;;;;
Dub;Vocal;Sample;FR;;;;;
Dub;Vocal;;;;;;;
Dub;Steppa;Digital;Electrodub;Vocal;;;;
Dub;Instru;Digital;Mélodique;;;;;
Dub;Digital;Electrodub;Instru;;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;ElectroDub;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Vocal;Sample;FR;Digital;Electrodub;;;
Dub;Steppa;Vocal;Melodic;Digital;;;;
Dub;Instru;Digital;Electrodub;Heavy;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Steppa;Vocal;Digital;Heavy;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;Heavy;Dubstep;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;OS;;;;;
Dub;Vocal;Digital;Downtempo;;;;;
Dub;Vocal;Digital;Uptempo;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Uptempo;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Vocal;Digital;;;;;;
